,film_3_layers,rgcn_2_layers,rgcn_3_layers,lmv3_10_invoices
fujimart_val,0.991,0.993,0.99,0.994
fujimart_test,0.98,0.981,0.984,0.993
emart_val,0.942,0.99,0.987,0.994
emart_test,0.956,0.994,0.998,0.998
tgs_val,0.997,0.997,0.996,0.998
tgs_test,0.999,0.998,0.999,1.0
lotte-drop-0.4_val,0.995,0.996,0.998,0.998
lotte-drop-0.4_test,0.995,0.994,0.995,0.998
brg_val,0.999,0.997,0.996,1.0
brg_test,0.99,0.987,0.986,0.99
aeon_citimart_val,0.999,0.992,0.996,0.999
aeon_citimart_test,0.994,0.993,0.998,0.998
winmart_combined_val,0.989,0.989,0.992,0.998
winmart_combined_test,0.99,0.996,0.995,0.999
satra_val,0.99,0.988,0.992,0.995
satra_test,0.993,0.996,0.997,0.998
coopmart_combined_new_out_2_test_drop_unit_price,0.98,0.995,0.995,0.995
coopmart_combined_new_out_2_val_drop_unit_price,0.982,0.996,0.995,0.998
bigc_old_val,0.994,0.993,0.993,0.903
bigc_old_test,0.993,0.988,0.99,0.917
mega_2022_val,0.997,0.997,0.998,0.934
mega_2022_test,0.989,0.992,0.988,0.931
aeon_combined_val,0.993,0.993,0.993,0.997
aeon_combined_test,0.996,0.994,0.995,0.998
