,film_3_layers,rgcn_2_layers,rgcn_3_layers
fujimart_val,6,5,7
fujimart_test,15,14,12
emart_val,99,25,32
emart_test,65,12,5
tgs_val,5,5,7
tgs_test,2,4,2
lotte-drop-0.4_val,29,24,12
lotte-drop-0.4_test,35,39,33
brg_val,2,4,5
brg_test,15,19,21
aeon_citimart_val,2,11,5
aeon_citimart_test,8,10,3
winmart_combined_val,30,28,22
winmart_combined_test,27,10,13
satra_val,21,24,17
satra_test,13,8,6
coopmart_combined_new_out_2_test_drop_unit_price,216,51,50
coopmart_combined_new_out_2_val_drop_unit_price,215,45,50
bigc_old_val,22,26,24
bigc_old_test,21,36,31
mega_2022_val,4,4,3
mega_2022_test,17,12,18
aeon_combined_val,49,48,45
aeon_combined_test,23,34,28
